Date,BBLS Oil,Daily Oil,Wells Producing,BBLS Per Well,Daily Oil Per Well
1951-12-31,26196,122.0,1.0,26196.0,122.0
1952-12-31,1603555,4369.333333333333,34.416666666666664,46592.397094431,126.953995157385
1953-12-31,5275831,14477.666666666666,184.33333333333334,28621.14466546112,78.54068716094032
1954-12-31,6024947,16490.0,350.5833333333333,17185.491799381984,47.03589256001902
1955-12-31,11183607,30645.166666666668,525.6666666666666,21275.092580849716,58.29771718452759
1956-12-31,12755580,34857.083333333336,698.5,18261.388690050106,49.9027678358387
1957-12-31,13210633,36193.75,869.0833333333334,15200.651644452966,41.645891264742545
1958-12-31,14272060,39107.5,1080.0,13214.87037037037,36.210648148148145
1959-12-31,17869422,48959.666666666664,1177.9166666666667,15170.361796957905,41.56462681287584
1960-12-31,21993603,60078.25,1386.9166666666667,15857.912395601754,43.31785134891546
1961-12-31,23676981,64887.166666666664,1507.5833333333333,15705.255209772817,43.040517384334755
1962-12-31,25176013,68951.0,1583.6666666666667,15897.292990949272,43.53883392969901
1963-12-31,25026862,68576.5,1636.75,15290.583167863144,41.897968535206964
1964-12-31,25725429,70330.41666666667,1688.6666666666667,15234.16640347414,41.64848993288591
1965-12-31,26344307,72177.41666666667,1737.8333333333333,15159.282823439149,41.532991272657526
1966-12-31,27124428,74329.91666666667,1779.4166666666667,15243.438205404393,41.77206949843114
1967-12-31,25313448,69374.16666666667,1756.9166666666667,14407.881990229094,39.4863159891856
1968-12-31,25038753,68423.83333333333,1704.0833333333333,14693.385300014672,40.15286811091007
1969-12-31,22706378,62227.666666666664,1604.8333333333333,14148.745248727802,38.775158375739956
1970-12-31,22006300,60295.833333333336,1508.5,14588.200198873054,39.97072146724119
1971-12-31,21653912,59324.916666666664,1487.8333333333333,14553.99036630447,39.87336171166125
1972-12-31,20624158,56355.166666666664,1427.1666666666667,14451.120868854372,39.48744598855541
1973-12-31,20233812,55445.583333333336,1387.5,14582.927567567567,39.96078078078078
1974-12-31,19658695,53860.416666666664,1407.75,13964.620848872313,38.25993014858225
1975-12-31,20452740,56028.416666666664,1456.9166666666667,14038.373276897557,38.45684379111136
1976-12-31,21725878,59362.583333333336,1524.0833333333333,14255.045983924765,38.94969653890317
1977-12-31,23272804,63755.666666666664,1605.9166666666667,14491.912614809817,39.70048259042083
1978-12-31,24811728,67912.83333333333,1664.3333333333333,14907.907871019428,40.80482675746045
1979-12-31,30925913,84662.08333333333,1823.6666666666667,16958.095229391336,46.424099798939864
1980-12-31,40446550,110540.25,2134.0,18953.397375820055,51.799554826616685
1981-12-31,45907342,125775.83333333333,2482.6666666666665,18491.142051557465,50.661587003222344
1982-12-31,47538921,130208.91666666667,2774.4166666666665,17134.744600967173,46.93199771723786
1983-12-31,50723673,139006.83333333334,3025.0833333333335,16767.694443679236,45.951406297347184
1984-12-31,52658396,143870.33333333334,3246.0,16222.549599507085,44.322345450811255
1985-12-31,50945412,139584.08333333334,3416.3333333333335,14912.307151917259,40.857864181871406
1986-12-31,45656861,125145.0,3245.3333333333335,14068.465797041905,38.561524239934265
1987-12-31,41363032,113351.91666666667,3251.3333333333335,12721.867541521426,34.8632099651425
1988-12-31,39363927,107559.91666666667,3291.5,11959.266899589853,32.67808496632741
1989-12-31,36746439,100670.08333333333,3222.3333333333335,11403.67404572256,31.241362366814933
1990-12-31,36723443,100617.5,3311.4166666666665,11089.949316757682,30.385031582655966
1991-12-31,35899235,98370.5,3407.0,10536.904901673026,28.873055474024067
1992-12-31,32902721,89910.33333333333,3364.5833333333335,9779.136891640866,26.722575851393188
1993-12-31,30925059,84745.41666666667,3308.5,9347.153997279735,25.614452672409453
1994-12-31,27693359,75869.83333333333,3154.5833333333335,8778.769198256505,24.050667018887857
1995-12-31,29335094,80362.66666666667,3160.0,9283.25759493671,25.431223628691985
1996-12-31,32299904,88237.08333333333,3173.0,10179.610463283958,27.808724655951252
1997-12-31,35837096,98160.41666666667,3224.25,11114.8626812437,30.444418598640514
1998-12-31,35564024,97438.66666666667,3111.8333333333335,11428.640351347009,31.312302501205078
1999-12-31,32878578,90084.41666666667,2944.1666666666665,11167.363034248514,30.59759411265214
2000-12-31,32713018,89385.25,3139.8333333333335,10418.711608896438,28.46815117575243
2001-12-31,31693576,86839.25,3185.6666666666665,9948.804855080047,27.259364863450877
2002-12-31,30803091,84402.58333333333,3215.5,9579.564919919141,26.248665319027626
2003-12-31,29410953,80591.25,3170.1666666666665,9277.41538299774,25.42177067451764
2004-12-31,31152245,85099.66666666667,3156.9166666666665,9867.933901750126,26.956576828656654
2005-12-31,35674533,97710.41666666667,3227.75,11052.446131205948,30.27199029251543
2006-12-31,39943108,109404.25,3363.75,11874.576885916016,32.52448903753252
2007-12-31,45121798,123577.58333333333,3539.8333333333335,12746.870756626959,34.91056546918404
2008-12-31,62779796,171446.33333333334,3868.8333333333335,16227.061388015336,44.3147374316116
2009-12-31,79727666,218280.41666666666,4189.416666666667,19030.732043044973,52.10281861038728
2010-12-31,113063565,309537.6666666667,4782.583333333333,23640.68895819902,64.72185534317228
2011-12-31,153039586,418810.0833333333,5545.75,27595.83212369833,75.51910622248268
2012-12-31,243328628,664485.4166666666,7200.75,33792.122764989756,92.28002870071404
2013-12-31,314034750,859983.0,8937.25,35137.73811854877,96.2245657221181
2014-12-31,397235212,1087558.1666666667,10800.333333333334,36779.90296595784,100.69672232338509
2015-12-31,432391690,1184558.9166666667,12390.666666666666,34896.563811471,95.60090256106749
2016-12-31,380393220,1039538.5,12932.833333333334,29412.984007113675,80.37979561065505
2017-12-31,394825994,1081498.3333333333,13619.416666666666,28989.934272760092,79.40856497769728
2018-12-31,466394591,1277205.4166666667,14570.583333333334,32009.32868164738,87.65643677043359
2019-12-31,524430647,1436078.8333333333,15411.833333333334,34027.79122103146,93.18027273415449
2020-12-31,438683034,1199372.3333333333,14711.833333333334,29818.37980763784,81.52432848840502
2021-12-31,409104098,1120668.5833333333,16306.75,25088.02170880157,68.72421441018801
2022-12-31,390326798,1069469.5,16881.083333333332,23122.1415292265,63.35313195736846
2023-12-31,435294884,1192620.0833333333,17697.916666666668,24595.826288404944,67.38759741024131
2024-12-31,218674415,1202185.1666666667,18472.833333333332,11837.621823037434,65.07854777736678
